Scientific name,Family,Svenskt namn,Dyntaxa ID number,Establishment,Red-listed,Time of immigration,Index of invasive concern,Biodiversity relevance,Nectar production,Heat requirement,Cold requirement,Temp. optimum,Continentality,Light,Moisture,Soil reaction (pH),Nitrogen (N),Phosphorus (P),Salinity,Grazing/mowing,Soil disturbance,Longevity,Pollinator dependence,Phenology,Extreme phenology,Seed dormancy,Seed bank,Seed disperser,Nitrogen fixation,Photosynthetic pathway,Mycorrhiza,Carnivory,Parasitism,Unnamed: 34,1 Siliceous rock,2 Ultrabasic rock,3 Calcareous rock,4 Dry heath,5. Dry meadow,6 Steppic meadow,7 Sand steppe,8 Moist heath,9 Moist meadow,10 Moist calcareous meadow,11 Raised bog,12 Poor/acidic fen,13 Intermediate-rich fen,14 Rich/calcareous fen,15 Tall herb/sedge/reed meadow,16 Oligotrophic water & shores,17 Mesotrophic water & shores,18 Eutrophic water & shores,19 sandy/stony/rocky sea shores,20 Sea shore meadows,21 Base-poor wasteland,22 Base-rich wasteland,23. Arable land,24 Gravelly ground,25 Ruderal,"26 Hedgerows, thickets, wood-margins and groves",27 Heath-type deciduous forest,28 Intermediate deciduous forest,29 Herb-rich deciduous forest,30 Alnus glutinosa swamp,31 Fraxinus/Ulmus/Alnus incana swamp,32 Pinus/Betula swamp,33 Picea swamp,34 Heath-type coniferous forest,35 Vaccinium-type coniferous forest,36 Herb-rich coniferous forest,37 Cacareous conifer forest,38 Subalpine Betula forest
Achillea ptarmica L.,Asteraceae,nysört,219909.0,Resident,Not Red-listed,0.0,0,5.0,6.0,4.0,3.0,8.0,4.0,5.0,6.0,4.0,4.0,3.0,1.0,4.0,2.0,4.0,2,9.0,2.0,2,2.0,Passive,0.0,C3,AM,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,2,1,0.0,0.0,0,0,1,0,0,1,0,0,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Aconitum × stoerkianum Rchb.,Ranunculaceae,trädgårdsstormhatt,222767.0,Resident,Not Red-listed,3.0,10,2.0,6.0,7.0,4.0,8.0,5.0,5.0,7.0,5.0,6.0,3.0,1.0,3.0,3.0,4.0,0a,11.0,4.0,X,,Passive,0.0,C3,AM,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,2,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aconitum lycoctonum L.,Ranunculaceae,vargstormhatt,219914.0,Resident,Not Red-listed,0.0,0,2.0,6.0,3.0,11.0,14.0,6.0,4.0,5.0,7.0,7.0,5.0,1.0,3.0,2.0,4.0,1b,,,4,,Passive,0.0,C3,AM,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,1,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2
Aconitum napellus L.,Ranunculaceae,äkta stormhatt,6.0,Resident,CR,1.0,4,3.0,6.0,9.0,3.0,6.0,4.0,5.0,7.0,6.0,6.0,4.0,1.0,3.0,3.0,4.0,,11.0,4.0,3,,Passive,0.0,C3,AM,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aconogonon × fennicum Reiersen,Polygonaceae,finnslide,220614.0,Non-resident,Not Red-listed,,,1.0,5.0,8.0,15.0,13.0,5.0,5.0,6.0,4.0,7.0,5.0,1.0,1.0,,4.0,0c,9.0,2.0,X,,Veg,0.0,C3,None,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Aconogonon alpinum (All.) Schur,Polygonaceae,alpslide,222769.0,Resident,Not Red-listed,5.0,9.5,1.0,5.0,6.0,7.0,10.0,4.0,6.0,5.0,4.0,6.0,5.0,1.0,1.0,,4.0,,,,,,Passive,0.0,C3,None,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,3,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Aconogonon divaricatum (L.) Nakai,Polygonaceae,vippslide,220615.0,Resident,Not Red-listed,5.0,11.3,1.0,5.0,8.0,1.0,7.0,8.0,6.0,6.0,4.0,6.0,5.0,1.0,1.0,,4.0,,11.0,4.0,2,,Passive,0.0,C3,None,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Aconogonon weyrichii (F. Schmidt ex Maxim.) H. Hara,Polygonaceae,gråslide,220616.0,Non-resident,Not Red-listed,,,1.0,5.0,8.0,7.0,9.0,7.0,5.0,6.0,4.0,7.0,5.0,1.0,1.0,,4.0,,8.0,1.0,X,,Veg,0.0,C3,None,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Acorus calamus L.,Acoraceae,kalmus,220617.0,Resident,Not Red-listed,1.0,4,1.0,2.0,10.0,1.0,3.0,5.0,5.0,10.0,5.0,7.0,5.0,1.0,3.0,1.0,4.0,0a,9.0,2.0,X,,Veg,0.0,C3,AM,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actaea erythrocarpa (Fisch.) Kom.,Ranunculaceae,röd trolldruva,8.0,Resident,NT,0.0,0,1.0,2.0,4.0,12.0,14.0,9.0,3.0,6.0,7.0,6.0,3.0,1.0,1.0,3.0,4.0,1,,,3,,Bird,0.0,C3,AM,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,0,0
Actaea rubra (Aiton) Willd.,Ranunculaceae,amerikansk trolldruva,222770.0,Resident,Not Red-listed,6.0,18.8,1.0,2.0,8.0,10.0,11.0,8.0,3.0,4.0,5.0,6.0,3.0,1.0,1.0,3.0,4.0,1,,,3,,Bird,0.0,C3,AM,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,4,0,0
Actaea spicata L.,Ranunculaceae,svart trolldruva,222771.0,Resident,Not Red-listed,0.0,0,2.0,2.0,5.0,4.0,9.0,4.0,2.0,3.0,6.0,6.0,3.0,1.0,1.0,3.0,4.0,1,7.0,2.0,3,1.0,Bird,0.0,C3,AM,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,3,0
Adonis vernalis L.,Ranunculaceae,våradonis,9.0,Resident,NT,0.0,0,1.0,3.0,13.0,4.0,5.0,9.0,6.0,3.0,8.0,3.0,2.0,1.0,5.0,,4.0,1,5.0,4.0,3,1.0,Myr,0.0,C3,AM,0.0,0.0,,0,0,3,0,0,7.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adoxa moschatellina L.,Adoxaceae,desmeknopp,222776.0,Resident,NT,0.0,0,2.0,3.0,4.0,3.0,8.0,7.0,3.0,5.0,6.0,8.0,5.0,1.0,6.0,6.0,4.0,1,4.0,5.0,,1.0,Bird,0.0,C3,AM,0.0,0.0,,0,0,1,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,3,0,0,0,0,0,0,0
Aegopodium podagraria L.,Apiaceae,kirskål,222185.0,Resident,Not Red-listed,0.0,0,4.0,4.0,7.0,4.0,8.0,5.0,3.0,5.0,6.0,5.0,5.0,1.0,3.0,1.0,4.0,2,8.0,1.0,4,2.0,Passive,0.0,C3,AM,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,1,2,0,0,1,2,0,0,2,0,2,0,0,0,0,0,0,0
Aesculus hippocastanum L.,Sapindaceae,hästkastanj,223321.0,Resident,Not Red-listed,4.0,8,3.0,6.0,13.0,4.0,5.0,6.0,4.0,5.0,5.0,6.0,3.0,1.0,1.0,5.0,4.0,2,7.0,2.0,4,1.0,Bird,0.0,C3,AM,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0
Aethusa cynapium L.,Apiaceae,vildpersilja,219619.0,Resident,Not Red-listed,0.0,0,2.0,4.0,10.0,4.0,6.0,5.0,5.0,3.0,7.0,8.0,5.0,2.0,3.0,8.0,2.0,0c,9.0,2.0,4,3.0,Passive,0.0,C3,AM,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,3,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0
Agastache rugosa (Fisch. & C. A. Mey.) Kuntze,Lamiaceae,koreansk anisisop,221593.0,Non-resident,Not Red-listed,,,1.0,6.0,11.0,2.0,4.0,7.0,6.0,4.0,,7.0,4.0,1.0,2.0,,3.0,1a,11.0,4.0,3,,Passive,0.0,,AM,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
Agrimonia eupatoria L.,Rosaceae,småborre,219918.0,Resident,Not Red-listed,0.0,0,4.0,2.0,10.0,2.0,4.0,4.0,5.0,3.0,6.0,6.0,3.0,1.0,2.0,5.0,4.0,0c,11.0,4.0,3,2.0,Adh,0.0,C3,AM,0.0,0.0,,0,0,0,0,3,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agrimonia procera Wallr.,Rosaceae,luktsmåborre,11.0,Resident,Not Red-listed,0.0,0,3.0,2.0,11.0,4.0,7.0,5.0,5.0,5.0,7.0,6.0,3.0,1.0,2.0,5.0,4.0,0c,11.0,4.0,3,2.0,Adh,0.0,C3,AM,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,2,0,0,0,0,0,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Agrostemma githago L.,Caryophyllaceae,klätt,14.0,Resident,CR,0.0,0,2.0,4.0,9.0,2.0,5.0,7.0,6.0,3.0,5.0,5.0,5.0,1.0,1.0,9.0,1.0,1b,8.0,1.0,1,1.0,Passive,0.0,C3,None,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Agrostis canina L.,Poaceae,brunven,222187.0,Resident,Not Red-listed,0.0,0,4.0,1.0,5.0,4.0,9.0,5.0,4.0,7.0,2.0,3.0,2.0,2.0,4.0,6.0,4.0,0b,11.0,4.0,,3.0,Passive,0.0,C3,AM,0.0,0.0,,0,0,0,0,0,0.0,0,2.0,0,0,0.0,2.0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Agrostis capillaris L.,Poaceae,rödven,222188.0,Resident,Not Red-listed,0.0,0,4.0,1.0,3.0,3.0,9.0,5.0,5.0,4.0,4.0,5.0,3.0,2.0,5.0,2.0,4.0,0b,10.0,3.0,,4.0,Passive,0.0,C3,AM,0.0,0.0,,1,1,0,2,1,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Agrostis clavata Trin.,Poaceae,köseven,15.0,Resident,Not Red-listed,0.0,0,2.0,1.0,7.0,11.0,12.0,8.0,5.0,4.0,5.0,4.0,4.0,1.0,3.0,7.0,3.0,0b,,,,,Passive,0.0,C3,AM,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agrostis gigantea Roth,Poaceae,storven,222192.0,Resident,Not Red-listed,0.0,0,3.0,1.0,5.0,2.0,7.0,6.0,5.0,5.0,5.0,6.0,4.0,2.0,3.0,4.0,4.0,0b,11.0,4.0,,2.0,Passive,0.0,C3,AM,0.0,0.0,,0,0,1,0,0,0.0,0,0.0,1,1,0.0,0.0,1,0,0,0,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Agrostis mertensii Trin.,Poaceae,fjällven,222194.0,Resident,Not Red-listed,0.0,0,3.0,1.0,2.0,12.0,15.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,6.0,5.0,4.0,0b,,,,3.0,Passive,0.0,C3,AM,0.0,0.0,,0,0,0,0,2,0.0,0,0.0,2,0,0.0,0.0,2,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agrostis scabra Willd.,Poaceae,kvarnven,222197.0,Resident,Not Red-listed,5.0,14,3.0,1.0,8.0,8.0,10.0,7.0,7.0,5.0,5.0,4.0,4.0,1.0,3.0,7.0,,0b,,,,2.0,Passive,0.0,C3,AM,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Agrostis stolonifera L.,Poaceae,krypven,222198.0,Resident,Not Red-listed,0.0,0,4.0,1.0,4.0,2.0,7.0,4.0,6.0,7.0,6.0,5.0,3.0,3.0,6.0,6.0,4.0,0b,11.0,4.0,4,3.0,Passive,0.0,C3,AM,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,2,2,0.0,0.0,0,1,0,0,0,1,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Agrostis vinealis Schreb.,Poaceae,bergven,222200.0,Resident,Not Red-listed,0.0,0,3.0,1.0,3.0,4.0,10.0,3.0,6.0,3.0,4.0,3.0,2.0,1.0,5.0,4.0,4.0,0b,10.0,3.0,2,2.0,Passive,0.0,C3,AM,0.0,0.0,,2,2,1,2,1,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Aira caryophyllea L.,Poaceae,vittåtel,16.0,Resident,NT,0.0,0,1.0,1.0,12.0,2.0,3.0,6.0,7.0,1.0,6.0,4.0,3.0,1.0,5.0,7.0,1.0,0c,7.0,2.0,2,,Passive,0.0,C3,AM,0.0,0.0,,0,0,2,0,2,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aira praecox L.,Poaceae,vårtåtel,222203.0,Resident,Not Red-listed,0.0,0,1.0,1.0,11.0,4.0,6.0,3.0,7.0,1.0,4.0,2.0,4.0,1.0,5.0,8.0,1.0,0c,6.0,3.0,2,2.0,Passive,0.0,C3,AM,0.0,0.0,,2,2,0,0,2,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ajuga genevensis L.,Lamiaceae,kritsuga,17.0,Resident,CR,0.0,0,2.0,5.0,12.0,4.0,5.0,6.0,6.0,2.0,8.0,5.0,3.0,1.0,6.0,,4.0,1b,6.0,3.0,3,3.0,Myr,0.0,C3,AM,0.0,0.0,,0,0,0,0,0,5.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ajuga pyramidalis L.,Lamiaceae,blåsuga,221597.0,Resident,Not Red-listed,0.0,0,1.0,5.0,6.0,5.0,9.0,3.0,4.0,4.0,3.0,2.0,3.0,1.0,6.0,4.0,4.0,1b,6.0,3.0,3,3.0,Myr,0.0,C3,AM,0.0,0.0,,0,0,0,4,4,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Ajuga reptans L.,Lamiaceae,revsuga,18.0,Resident,Not Red-listed,0.0,0,3.0,5.0,12.0,3.0,4.0,5.0,3.0,6.0,6.0,6.0,4.0,1.0,5.0,4.0,4.0,1b,6.0,3.0,3,3.0,Myr,0.0,C3,AM,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,5,0,0,0,0,0,0,0
Alcea rosea L.,Malvaceae,stockros,222777.0,Non-resident,Not Red-listed,,,3.0,3.0,12.0,3.0,4.0,5.0,7.0,2.0,7.0,7.0,5.0,2.0,1.0,7.0,3.0,1,11.0,4.0,1,,Passive,0.0,,AM,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,2,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
Alchemilla acutiloba Opiz,Rosaceae,stjärndaggkåpa,222015.0,Resident,Not Red-listed,0.0,0,2.0,3.0,4.0,6.0,10.0,5.0,5.0,5.0,6.0,6.0,3.0,1.0,4.0,3.0,4.0,0d,7.0,2.0,,3.0,Passive,0.0,C3,AM,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,5,0,0.0,0.0,0,2,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Alchemilla alpina L.,Rosaceae,fjällkåpa,222934.0,Resident,Not Red-listed,0.0,0,2.0,3.0,2.0,9.0,13.0,4.0,6.0,5.0,4.0,2.0,3.0,1.0,5.0,4.0,4.0,,,,3,1.0,Passive,0.0,C3,AM,0.0,0.0,,0,0,0,0,0,0.0,0,3.0,3,0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Alchemilla baltica Sam. ex Juz.,Rosaceae,baltisk daggkåpa,222935.0,Resident,Not Red-listed,5.0,10,2.0,3.0,7.0,7.0,10.0,8.0,5.0,4.0,5.0,4.0,3.0,1.0,4.0,3.0,4.0,0d,7.0,2.0,,3.0,Passive,0.0,C3,AM,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,7,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Alchemilla borealis Sam. ex Juz.,Rosaceae,norddaggkåpa,1848.0,Resident,NT,0.0,0,2.0,3.0,3.0,15.0,16.0,,5.0,9.0,4.0,4.0,3.0,1.0,,3.0,4.0,0d,7.0,2.0,,3.0,Passive,0.0,C3,AM,0.0,0.0,,0,0,0,0,0,0.0,0,3.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Alchemilla chirophylla,Rosaceae,handkåpa,222937.0,Resident,Not Red-listed,6.0,?,2.0,3.0,,,,,5.0,,,,,1.0,,3.0,4.0,0d,7.0,2.0,,3.0,Passive,0.0,C3,AM,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alchemilla cymatophylla Juz.,Rosaceae,vågdaggkåpa,222940.0,Resident,Not Red-listed,5.0,12.8,2.0,3.0,7.0,7.0,10.0,6.0,4.0,5.0,5.0,5.0,3.0,1.0,,3.0,4.0,0d,7.0,2.0,,3.0,Passive,0.0,C3,AM,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alchemilla filicaulis Buser,Rosaceae,späddaggkåpa/vindaggkåpa,222941.0,Resident,Not Red-listed,0.0,0,2.0,3.0,3.0,6.0,11.0,4.0,5.0,4.0,3.0,4.0,3.0,1.0,6.0,3.0,4.0,0d,7.0,2.0,,3.0,Passive,0.0,C3,AM,0.0,0.0,,0,0,0,1,1,0.0,0,2.0,3,0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alchemilla glabra Neygenf.,Rosaceae,glatt daggkåpa,222942.0,Resident,Not Red-listed,0.0,0,2.0,3.0,4.0,3.0,8.0,3.0,5.0,6.0,5.0,5.0,3.0,1.0,5.0,3.0,4.0,0d,7.0,2.0,,3.0,Passive,0.0,C3,AM,0.0,0.0,,0,0,0,0,0,0.0,0,0.0,3,1,0.0,0.0,0,0,1,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Alchemilla glaucescens Wallr.,Rosaceae,sammetsdaggkåpa,222943.0,Resident,Not Red-listed,0.0,0,2.0,3.0,5.0,4.0,9.0,4.0,6.0,3.0,6.0,3.0,3.0,1.0,5.0,3.0,4.0,0d,7.0,2.0,,3.0,Passive,0.0,C3,AM,0.0,0.0,,0,2,0,0,5,2.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
